Id,Prediction
r1_c622,4.0
r2_c6,5.0
r2_c138,2.0
r2_c215,5.0
r2_c257,4.0
r2_c363,3.0
r2_c388,4.0
r2_c397,3.0
r2_c402,5.0
r2_c443,3.0
r2_c444,1.0
r2_c465,5.0
r2_c478,5.0
r2_c534,4.0
r2_c597,5.0
r2_c827,5.0
r3_c131,5.0
r3_c302,5.0
r3_c332,2.0
r3_c416,1.0
r3_c644,4.0
r3_c645,4.0
r4_c46,3.0
r4_c547,4.0
r4_c617,5.0
r5_c34,3.0
r5_c216,3.0
r5_c237,4.0
r5_c446,4.0
r5_c508,4.0
r5_c619,5.0
r5_c706,4.0
r5_c772,1.0
r5_c791,2.0
r5_c854,3.0
r6_c14,4.0
r6_c23,4.0
r6_c148,5.0
r6_c318,5.0
r6_c322,5.0
r6_c409,3.0
r6_c410,4.0
r6_c427,5.0
r6_c477,5.0
r6_c518,5.0
r6_c548,5.0
r6_c602,5.0
r6_c651,3.0
r6_c657,5.0
r6_c695,4.0
r6_c774,5.0
r6_c969,5.0
r7_c418,3.0
r7_c611,5.0
r7_c661,5.0
r8_c16,3.0
r8_c122,4.0
r8_c200,5.0
r9_c26,4.0
r9_c45,5.0
r9_c84,5.0
r9_c131,5.0
r9_c136,5.0
r9_c271,3.0
r9_c425,4.0
r9_c499,5.0
r9_c663,5.0
r9_c686,3.0
r9_c793,3.0
r9_c864,5.0
r9_c881,3.0
r10_c98,4.0
r10_c216,4.0
r10_c295,5.0
r10_c313,3.0
r10_c349,4.0
r10_c394,1.0
r10_c402,5.0
r10_c575,3.0
r10_c615,3.0
r10_c662,3.0
r10_c740,4.0
r10_c883,5.0
r10_c971,5.0
r10_c978,5.0
r11_c46,5.0
r11_c60,5.0
r11_c101,5.0
r11_c160,4.0
r11_c191,3.0
r11_c203,5.0
r11_c237,4.0
r11_c366,4.0
r11_c410,3.0
r11_c486,1.0
r11_c487,4.0
r11_c611,3.0
r11_c752,5.0
r11_c789,3.0
r11_c885,3.0
r12_c45,5.0
r12_c178,5.0
r12_c351,4.0
r12_c446,4.0
r12_c533,3.0
r12_c599,4.0
r12_c616,5.0
r12_c650,4.0
r12_c657,5.0
r12_c664,4.0
r12_c815,4.0
r12_c983,4.0
r13_c10,2.0
r13_c26,5.0
r13_c129,4.0
r13_c133,1.0
r13_c134,5.0
r13_c140,2.0
r13_c202,3.0
r13_c206,4.0
r13_c379,3.0
r13_c388,3.0
r13_c573,4.0
r13_c610,4.0
r13_c619,3.0
r13_c664,3.0
r13_c748,3.0
r13_c769,4.0
r13_c925,5.0
r13_c967,5.0
r13_c971,4.0
r13_c995,5.0
r14_c259,4.0
r14_c370,4.0
r14_c397,3.0
r14_c475,4.0
r14_c577,4.0
r14_c608,4.0
r14_c650,5.0
r14_c668,4.0
r14_c682,5.0
r14_c769,5.0
r14_c774,4.0
r14_c927,5.0
r15_c16,5.0
r15_c55,4.0
r15_c119,1.0
r15_c120,3.0
r15_c131,5.0
r15_c182,2.0
r15_c199,2.0
r15_c272,2.0
r15_c277,3.0
r15_c327,3.0
r15_c366,5.0
r15_c429,3.0
r15_c456,4.0
r15_c498,5.0
r15_c575,4.0
r15_c595,4.0
r15_c617,5.0
r15_c621,2.0
